Income_INR,Village_Risk_Score,Loan_Size_INR,Past_Repayment_History,Default
14610,0.295,34078,2,1
12442,0.456,30162,1,1
22862,0.288,31606,1,0
9869,0.196,22940,2,1
13826,0.069,16140,1,0
5733,0.327,5428,2,0
8155,0.168,5000,1,1
14013,0.57,18901,2,1
15131,0.194,27936,0,0
8544,0.046,20945,1,0
9549,0.159,14273,2,0
5000,0.12,9711,1,1
8279,0.207,18892,0,0
15447,0.171,23799,0,1
13195,0.25,9899,0,1
12712,0.136,27728,1,1
10146,0.17,16292,2,0
9932,0.486,19793,0,1
7114,0.439,12683,0,1
14036,0.362,7413,0,1
12215,0.215,9224,1,1
12657,0.285,12671,2,0
7608,0.115,7592,1,0
5000,0.13,10811,1,0
17129,0.173,28372,0,1
7789,0.549,5000,0,1
6429,0.113,7799,0,0
13998,0.319,21954,0,0
8135,0.435,7551,0,1
16814,0.647,8132,2,0
13473,0.597,16149,1,0
13929,0.435,19062,1,1
5000,0.238,11500,1,0
18141,0.255,41863,0,1
11278,0.089,16362,0,1
8228,0.08,11438,0,1
10632,0.218,18554,0,1
5000,0.406,5000,2,0
12140,0.41,12140,0,1
5915,0.443,5000,1,0
5032,0.37,5000,1,0
5000,0.212,5000,1,0
17263,0.241,30128,1,1
7225,0.276,6116,0,1
21308,0.087,14075,1,1
7571,0.092,12827,2,0
5000,0.414,8843,1,1
5663,0.141,5000,2,0
18359,0.143,37142,1,1
9154,0.346,15315,1,0
7524,0.086,9283,1,0
10721,0.195,26425,2,0
12719,0.435,5360,1,0
17304,0.325,26720,2,0
20419,0.066,15016,1,0
8267,0.248,9025,2,0
5099,0.052,5000,1,0
8048,0.072,14513,2,1
11272,0.044,14015,0,0
6112,0.337,15105,1,0
6132,0.137,10874,2,0
11753,0.153,27343,1,0
9659,0.151,8748,2,0
10060,0.11,10759,2,0
6773,0.178,7868,0,0
8820,0.197,19059,1,1
6234,0.644,5265,0,0
15445,0.539,36886,0,1
16607,0.416,8162,1,1
5000,0.277,11343,0,1
6218,0.195,8382,1,0
5000,0.566,7521,2,0
7150,0.307,17838,1,1
9492,0.282,21141,2,0
5000,0.329,11492,1,1
6242,0.504,10172,1,0
5991,0.272,14428,1,0
10977,0.084,20247,0,1
10246,0.033,21728,1,0
6898,0.119,13204,1,0
10811,0.309,22055,1,0
7530,0.153,13100,1,1
8640,0.369,16636,1,0
22850,0.428,30059,0,0
19345,0.331,36455,1,0
5167,0.105,5071,0,1
14985,0.136,25976,1,1
14849,0.599,22271,1,1
5574,0.586,12747,2,1
14904,0.598,27032,2,0
21353,0.449,35295,1,0
5646,0.582,5970,2,0
6255,0.086,13836,1,0
16462,0.157,8457,1,1
11336,0.375,25953,2,0
13039,0.106,23096,2,0
11734,0.268,9363,1,1
12032,0.15,27629,2,0
5098,0.555,5533,0,1
16708,0.266,12587,2,0
17761,0.169,19008,0,1
8824,0.587,21340,1,1
9684,0.141,19182,2,1
5000,0.281,11626,2,0
12799,0.477,13152,1,0
13174,0.109,7550,2,1
9594,0.235,15175,0,1
17364,0.098,24558,0,0
8374,0.338,16022,2,0
13125,0.46,20208,2,0
5944,0.207,7326,2,0
9781,0.273,5000,2,0
9070,0.446,12538,0,0
11077,0.169,7237,0,1
8227,0.142,19221,2,0
9267,0.315,21644,1,1
14958,0.292,31227,2,0
7955,0.18,5819,2,0
5000,0.444,5000,1,0
23737,0.287,37574,1,0
19746,0.391,38064,1,1
5186,0.427,11927,0,1
13972,0.203,31822,1,0
7696,0.271,5589,2,0
11290,0.265,28119,1,1
11465,0.193,8361,0,1
8802,0.224,19050,0,1
6688,0.452,10919,0,0
7007,0.27,12784,1,1
6259,0.159,10443,1,1
6529,0.089,14536,1,1
9570,0.097,16632,1,0
6919,0.091,15100,1,0
13919,0.573,10079,2,1
20819,0.393,46220,1,0
7405,0.272,18404,1,1
11155,0.556,19959,1,0
12706,0.337,31134,0,1
12531,0.073,10799,1,0
10280,0.11,22015,2,0
14347,0.228,10832,0,1
12595,0.202,18685,0,1
5330,0.297,9565,1,0
15284,0.422,27306,2,1
15423,0.178,27898,1,0
6757,0.722,7256,1,0
10086,0.339,24660,1,0
13928,0.356,5762,2,1
8913,0.256,15189,2,0
16924,0.437,37551,1,1
32271,0.27,73299,2,0
6680,0.157,12776,0,1
5000,0.314,8035,1,0
11520,0.345,15672,1,1
14196,0.209,19080,1,0
8818,0.163,11399,0,0
20468,0.245,38271,2,0
5067,0.289,9809,0,1
13995,0.346,20726,0,1
7310,0.391,14297,2,0
23381,0.302,35299,0,1
26802,0.197,16200,1,0
6745,0.335,14762,0,1
7519,0.194,16752,0,0
15211,0.107,14596,1,0
8155,0.173,16730,1,0
9674,0.237,14255,1,1
10023,0.3,6620,2,0
5000,0.219,6178,1,0
9828,0.315,5511,1,0
7010,0.264,14382,0,0
7734,0.234,6281,2,0
20369,0.085,15180,2,0
5280,0.063,5000,1,0
14862,0.103,13002,0,0
8608,0.197,15627,1,0
8605,0.139,14982,1,0
14693,0.245,9868,2,0
11731,0.117,22539,1,0
13164,0.205,14916,1,0
16060,0.083,21852,0,1
8386,0.128,5553,0,1
7287,0.36,13759,2,0
5752,0.393,6846,1,1
6550,0.158,11315,1,0
40000,0.174,51886,1,1
18441,0.225,9268,0,1
5036,0.536,9455,0,0
5109,0.251,7971,2,0
12593,0.13,16521,2,0
13012,0.485,10712,2,0
13022,0.08,22283,1,0
8712,0.236,8520,2,0
9295,0.511,12095,1,0
11660,0.11,6047,1,0
10331,0.245,20984,0,1
5000,0.236,5000,2,0
8822,0.68,20034,1,1
6465,0.381,14366,1,0
10803,0.443,26352,2,0
40000,0.315,92309,2,1
11893,0.39,29019,2,0
8461,0.229,19149,1,0
15691,0.304,9984,1,0
12598,0.089,16619,1,0
12210,0.049,6836,1,0
13405,0.736,20713,1,1
27674,0.629,41857,1,1
5622,0.489,13137,2,0
12541,0.343,30556,1,0
6227,0.711,5887,1,1
13065,0.258,21203,0,1
6252,0.615,8598,1,1
8033,0.454,12436,1,1
8539,0.429,12951,1,1
16121,0.315,37396,0,1
15665,0.484,35746,2,0
5308,0.098,5000,2,0
10172,0.465,11441,1,0
6941,0.466,13749,1,1
5275,0.583,9686,1,0
8879,0.439,15321,2,1
8482,0.342,21095,1,0
33301,0.417,36883,1,1
12289,0.275,18212,2,0
5000,0.195,12281,1,1
7462,0.267,13884,1,0
16493,0.155,29064,2,1
28119,0.317,20385,1,0
5000,0.417,5000,2,0
5000,0.088,5963,2,0
25222,0.329,34710,2,1
12025,0.175,17366,2,0
6411,0.432,14711,2,0
12930,0.325,8083,1,0
5000,0.337,5000,0,0
9913,0.06,6955,1,1
11659,0.21,22668,1,0
15711,0.297,38307,1,1
5961,0.398,13575,2,0
10330,0.272,19823,1,0
6230,0.329,5000,1,0
11245,0.049,12693,0,1
6325,0.265,14001,1,1
8070,0.599,14296,1,0
6015,0.362,5053,1,0
13705,0.19,18908,1,1
15202,0.33,8887,2,0
8801,0.233,13146,1,1
10088,0.373,23123,1,1
5000,0.429,5000,2,0
8519,0.372,14391,2,0
9651,0.352,8585,1,0
36695,0.215,90996,1,0
5676,0.169,5000,2,0
20580,0.357,34910,0,0
16291,0.124,15288,1,0
11388,0.254,25659,0,1
23844,0.453,15643,0,1
11920,0.67,15514,2,1
12023,0.491,9489,1,0
9637,0.485,20035,1,0
18247,0.062,20766,2,0
17123,0.352,13563,2,0
7238,0.391,13929,0,0
5117,0.187,10828,0,0
8941,0.266,12259,2,0
6634,0.362,7931,1,1
9587,0.162,16562,2,1
18374,0.51,32484,1,0
7874,0.426,14075,1,1
9687,0.266,9484,0,1
10188,0.512,24215,1,1
15126,0.087,12830,2,0
5000,0.178,5928,0,1
7307,0.359,7276,2,0
10999,0.524,25908,0,0
18034,0.323,38586,1,1
7739,0.391,16280,0,1
5000,0.09,5000,1,0
13492,0.391,24830,1,0
7203,0.504,6364,1,0
5459,0.567,13279,1,0
7243,0.166,10970,1,1
9024,0.2,14312,1,0
7314,0.271,8401,2,0
5000,0.532,7635,2,1
15499,0.038,30602,1,1
18721,0.093,29580,1,0
13708,0.163,23943,1,1
5603,0.282,7801,1,0
8948,0.26,17042,1,1
9864,0.192,22581,1,0
13351,0.103,6772,2,1
13824,0.365,8644,1,0
6856,0.267,12613,1,0
10311,0.272,12303,0,1
12439,0.537,12332,2,0
20494,0.257,15884,1,0
14076,0.28,22557,0,1
14684,0.326,16590,2,0
10320,0.347,15137,2,0
20034,0.175,48343,1,1
12147,0.653,24202,2,1
6434,0.107,13329,1,0
19963,0.46,13192,0,1
14029,0.409,15186,2,0
7930,0.241,5000,2,0
7787,0.265,18953,0,1
11479,0.08,21036,2,0
12476,0.468,5494,2,0
10923,0.299,15276,2,1
11564,0.385,11025,0,0
23155,0.567,35518,1,0
16911,0.102,13109,0,0
10886,0.22,5654,1,0
15845,0.428,17092,1,1
5906,0.217,6027,1,1
12075,0.276,23012,0,0
24456,0.367,34154,1,0
8874,0.148,8979,0,0
6478,0.457,10351,1,1
7143,0.354,5000,1,0
5739,0.435,10279,1,0
6684,0.269,5000,1,1
8223,0.232,8119,0,1
5000,0.485,5000,0,1
9974,0.057,13748,2,0
15539,0.222,37320,1,0
6286,0.136,6800,0,0
21155,0.309,20960,2,0
12776,0.205,9639,1,1
16569,0.364,20266,0,1
7122,0.193,5572,2,0
15172,0.301,10458,2,0
5733,0.141,12615,1,1
15446,0.3,7885,2,0
10785,0.063,20413,0,0
13051,0.482,10772,2,0
5498,0.367,5000,0,0
6326,0.523,13094,1,0
13341,0.257,25012,1,0
6159,0.579,6788,0,1
12476,0.507,7069,2,1
5000,0.368,5787,0,1
15124,0.397,11809,2,0
5344,0.062,12602,1,0
13044,0.278,19726,2,0
13532,0.333,32802,1,0
6985,0.074,7947,1,0
13240,0.281,20768,2,0
11273,0.32,9010,1,0
7559,0.14,15857,1,0
5977,0.324,5000,0,1
5000,0.262,9303,0,1
11787,0.338,14410,2,0
5000,0.305,8073,1,1
10380,0.181,17062,1,0
8675,0.248,16420,0,0
13898,0.353,11521,1,0
8509,0.152,12900,1,0
8394,0.39,10883,0,0
14270,0.164,14164,1,0
11702,0.374,16863,0,1
11592,0.457,27812,1,0
12514,0.132,29942,1,1
5000,0.291,5000,1,0
14449,0.382,32609,0,1
13443,0.38,30128,0,0
5953,0.278,5501,0,1
8760,0.079,14522,1,1
9704,0.416,21610,0,0
9253,0.335,13708,1,0
11695,0.32,13759,1,0
20245,0.331,35766,2,0
16998,0.499,12954,0,1
5135,0.313,5000,0,1
13507,0.333,29022,0,0
19234,0.175,9385,1,0
12008,0.393,25070,1,1
17077,0.09,17248,1,0
27068,0.382,38290,0,1
16512,0.198,25451,0,1
11211,0.369,22543,1,1
16689,0.093,37653,0,1
10640,0.02,22227,2,0
10016,0.412,16045,0,0
8302,0.208,9388,2,0
21627,0.467,32565,0,1
6573,0.365,5000,2,0
21294,0.411,19472,1,0
12707,0.325,14853,1,0
5000,0.373,5357,1,0
11894,0.248,7134,1,0
5000,0.15,5000,0,1
13531,0.104,17367,2,0
15407,0.151,8583,1,0
7360,0.368,7367,2,1
10527,0.553,14708,1,0
26293,0.151,22110,1,0
7685,0.348,5000,1,1
5828,0.213,7620,1,0
20761,0.265,27857,2,0
26404,0.191,61332,2,1
9915,0.183,6628,2,0
16411,0.398,27759,0,1
19355,0.056,20737,2,0
6827,0.283,5000,0,1
7764,0.103,9516,0,0
18314,0.309,23784,1,0
22982,0.388,26740,1,0
13114,0.402,26333,2,0
6374,0.147,13784,2,0
26729,0.08,19040,0,0
7589,0.017,5711,1,0
8370,0.076,10751,1,0
11744,0.601,12595,1,0
21527,0.448,45661,1,0
15168,0.363,37820,1,0
12178,0.039,9503,2,0
12477,0.253,24970,1,1
10114,0.143,16944,1,0
13083,0.162,22938,2,0
5000,0.326,5000,1,0
8532,0.529,5154,1,0
11166,0.543,17205,1,1
5566,0.674,9397,2,1
12005,0.2,29083,2,0
8935,0.182,16244,2,0
23807,0.336,31704,2,0
21731,0.281,54054,2,0
7840,0.311,9281,2,0
9178,0.126,6804,2,0
9537,0.202,16193,1,1
7896,0.309,7573,1,0
10910,0.295,25494,2,0
6774,0.398,8796,2,1
5623,0.399,5000,2,0
13512,0.106,9423,1,0
13558,0.138,23920,1,0
6619,0.19,7734,1,1
15485,0.289,18022,0,0
7217,0.103,12167,1,0
11232,0.111,9718,0,0
14915,0.27,10521,2,0
9732,0.182,17325,2,0
12423,0.558,5106,0,0
7644,0.081,17624,0,1
8971,0.645,7035,2,1
8929,0.133,11969,1,0
6813,0.39,5751,1,0
9059,0.644,7775,1,1
5000,0.158,10767,0,1
7742,0.358,12608,0,0
8583,0.171,9047,2,1
8707,0.318,8074,2,0
8771,0.383,7429,0,1
9596,0.368,15011,0,1
12578,0.052,24334,1,0
15325,0.137,14289,1,0
7151,0.064,7851,1,0
5422,0.236,10372,0,1
5878,0.65,11452,0,1
7757,0.578,6480,1,1
8300,0.238,9982,2,0
6734,0.121,14997,1,0
5176,0.654,10117,0,1
7878,0.628,5840,0,1
10836,0.19,13118,2,1
13326,0.12,32569,1,0
7489,0.234,11259,1,0
8050,0.084,15381,2,0
6227,0.195,5000,1,1
9742,0.048,20930,1,0
6475,0.142,10814,2,0
13181,0.194,10133,1,1
5000,0.489,5992,1,1
8268,0.28,5000,1,0
11505,0.205,23375,2,0
10849,0.18,21312,2,0
38044,0.624,54384,2,0
11788,0.132,15905,1,0
5990,0.029,8226,2,0
9435,0.455,5000,1,1
5000,0.22,5866,1,0
9506,0.177,6367,0,1
6525,0.159,5142,1,1
15641,0.289,37859,1,0
7519,0.43,7141,2,0
9335,0.424,13215,1,1
7202,0.347,16309,1,1
23610,0.485,29945,2,1
8428,0.128,12727,1,0
24742,0.024,18667,2,0
14869,0.524,14849,2,0
12594,0.202,18424,0,0
11900,0.475,13879,1,0
12050,0.073,5788,2,0
5000,0.288,6208,2,0
8608,0.15,18179,2,0
15101,0.269,9721,2,0
9658,0.358,5000,1,0
5000,0.396,5000,0,1
9641,0.226,17763,0,1
23203,0.118,48002,0,0
18461,0.222,9273,0,0
9595,0.558,21721,2,0
15926,0.283,27351,1,0
8239,0.055,12261,0,1
5000,0.19,5000,2,0
6233,0.311,7359,1,1
21621,0.524,51646,0,0
8630,0.606,19972,0,1
8763,0.393,15015,1,1
8519,0.169,13764,2,0
25644,0.157,21596,1,0
22314,0.259,53596,1,1
30013,0.272,59615,0,0
9140,0.173,10993,1,0
11473,0.067,24246,0,1
5000,0.35,5000,0,0
20711,0.165,17559,1,0
5519,0.37,11376,1,0
11030,0.338,17367,0,0
5717,0.507,8961,0,1
7372,0.624,11831,2,0
6511,0.085,5000,0,0
7303,0.117,8282,2,0
7558,0.579,12119,2,0
7524,0.436,6921,1,1
15012,0.111,21895,0,0
5696,0.593,8941,0,0
11050,0.075,26300,1,1
18196,0.095,16670,1,0
7657,0.225,10127,1,1
6912,0.444,17012,2,1
8819,0.193,6987,1,0
17851,0.337,36382,2,0
10905,0.042,8419,1,0
7588,0.698,16581,0,1
12606,0.175,17960,1,0
5703,0.344,13925,2,0
13914,0.292,10535,0,1
12140,0.285,22394,2,0
8485,0.108,15783,0,0
6507,0.047,12426,2,0
6352,0.161,5000,1,0
12931,0.366,13008,0,0
18296,0.179,20306,2,0
7196,0.425,7779,0,0
12446,0.412,22622,1,1
5000,0.06,5000,2,1
7388,0.217,14283,2,1
9744,0.334,14673,1,0
6280,0.14,5000,2,1
6196,0.503,5421,0,1
7087,0.224,5000,0,1
11454,0.074,15623,0,0
9012,0.506,14864,1,0
5000,0.313,8100,0,1
5000,0.281,12104,0,1
7306,0.242,7464,2,0
12442,0.1,24888,0,0
5000,0.165,9592,1,1
7708,0.031,5000,1,0
7607,0.319,17900,0,1
19814,0.206,46677,1,1
8163,0.115,10060,1,0
11985,0.078,15307,1,0
10621,0.126,22529,2,0
5000,0.157,7197,1,1
14531,0.166,30202,2,0
11022,0.528,5245,1,1
12760,0.173,11811,1,1
40000,0.177,23649,0,1
5000,0.445,6769,1,0
23443,0.121,51428,1,0
8572,0.7,13685,2,1
11426,0.163,17055,2,1
9674,0.328,11307,1,0
8005,0.529,5000,1,0
7443,0.3,14957,2,0
11669,0.042,18655,1,1
5000,0.202,11775,0,0
14404,0.349,18828,2,0
8037,0.049,9992,2,0
5624,0.048,13759,1,1
7902,0.525,5503,2,0
18556,0.281,17256,1,0
7572,0.078,10792,0,0
11839,0.163,17753,1,0
6867,0.25,10660,2,0
14457,0.318,12222,1,0
13943,0.118,32716,0,1
24941,0.349,46824,0,1
9065,0.334,8546,2,0
13826,0.239,14072,2,1
10394,0.213,23374,1,0
18919,0.198,22679,1,1
6909,0.303,10835,2,0
14364,0.172,9378,1,1
8979,0.245,8338,0,0
9584,0.193,12218,2,0
10361,0.215,18422,1,1
11227,0.343,11097,1,0
9338,0.401,22380,0,1
11018,0.255,9503,1,1
21786,0.7,44351,2,0
16199,0.245,18882,2,0
15284,0.192,32863,1,0
7881,0.053,18430,2,0
6344,0.193,5029,1,0
15956,0.311,22851,2,0
15336,0.57,11106,0,1
20667,0.271,38901,0,0
7317,0.194,15715,2,1
8823,0.245,10746,1,0
5000,0.625,6165,0,1
8133,0.414,6735,0,1
16289,0.418,17001,1,1
7838,0.221,8466,0,0
13632,0.487,9907,1,0
8997,0.093,9455,2,0
11637,0.507,26828,2,1
5575,0.176,6040,0,0
10327,0.254,10083,1,1
5000,0.173,6038,0,1
9014,0.37,21783,0,0
5000,0.342,10028,0,1
18087,0.378,14898,2,0
14598,0.083,28911,1,0
12498,0.13,25109,1,1
21173,0.282,50716,1,1
6158,0.265,13987,2,0
23710,0.328,14224,2,0
15773,0.088,21367,2,0
8793,0.083,16498,0,0
17462,0.278,42679,1,0
5692,0.705,5000,1,1
6553,0.106,7689,1,0
7300,0.072,10466,2,0
7597,0.237,9631,0,1
5835,0.498,7919,2,0
18243,0.463,21437,0,0
8695,0.219,21202,2,0
11804,0.404,24634,2,0
7441,0.108,14488,2,1
5000,0.511,6312,1,0
11327,0.178,25501,1,0
5000,0.287,5000,2,1
9563,0.285,6705,1,1
5000,0.316,12017,0,0
26732,0.111,42522,2,0
15610,0.724,11471,1,0
10434,0.136,24972,1,1
18617,0.527,45560,2,0
6482,0.375,14592,0,1
12987,0.204,11701,1,0
10936,0.075,10771,1,0
11293,0.203,14169,2,0
18698,0.078,30226,1,0
14274,0.178,35452,1,1
11434,0.134,27532,1,1
5000,0.069,11671,0,0
6124,0.161,5000,1,0
9308,0.547,18523,1,1
10370,0.144,23243,0,1
5624,0.17,6186,2,0
33052,0.075,28461,1,1
21124,0.34,41652,1,0
13373,0.213,7900,0,0
10260,0.262,24375,0,1
8900,0.271,6477,2,0
6148,0.209,8367,2,0
10288,0.511,25348,2,1
11258,0.168,27867,1,0
5319,0.44,10796,2,1
11697,0.12,25292,2,1
9157,0.356,22263,1,1
5000,0.047,11738,1,0
6436,0.179,10984,2,0
8048,0.322,15635,1,0
25434,0.213,41888,1,1
13072,0.665,19133,1,0
5075,0.298,11419,1,0
12619,0.251,24606,1,1
5000,0.295,11028,1,1
17006,0.28,10227,1,0
7819,0.178,12595,0,1
9444,0.188,10313,2,0
19204,0.375,28386,1,1
5200,0.309,8773,2,0
5000,0.089,10880,0,0
7392,0.303,5000,0,1
16633,0.177,12381,1,1
5000,0.277,11675,1,0
5000,0.228,12156,0,1
7898,0.069,5000,1,1
13041,0.35,14303,1,0
18036,0.491,7582,0,1
7851,0.542,15628,2,1
8056,0.116,14760,2,0
17622,0.183,27951,1,0
5000,0.137,9262,2,0
8149,0.156,12463,1,1
10885,0.235,9814,1,1
12389,0.228,24582,2,0
7670,0.507,15684,1,0
10069,0.14,22089,2,0
5000,0.464,12017,0,1
7121,0.324,14028,2,1
12416,0.511,6388,1,0
6056,0.269,5000,0,1
10193,0.184,19915,0,1
12375,0.03,6406,2,1
8339,0.133,8868,1,1
10777,0.124,7392,2,0
6115,0.167,14890,1,0
8925,0.248,9500,1,0
13428,0.394,6926,2,0
10705,0.415,25630,1,0
7381,0.265,12388,1,1
11071,0.088,5268,0,1
14147,0.283,30418,1,0
5000,0.247,5000,1,1
17668,0.272,36840,1,0
8365,0.505,13935,1,1
12243,0.086,9451,1,1
18008,0.23,35665,0,1
5000,0.08,6772,1,0
6941,0.171,12078,0,1
8567,0.084,19070,2,0
6688,0.297,6331,0,1
23563,0.443,27535,2,0
6448,0.301,16084,1,1
7496,0.072,10998,2,0
10962,0.204,17241,1,1
5425,0.163,5422,0,1
8120,0.039,10342,2,0
11599,0.567,16857,1,0
8379,0.548,7899,1,1
9445,0.117,8502,2,0
7595,0.364,12616,1,0
5000,0.248,5000,0,1
11623,0.231,18159,1,0
23800,0.722,44817,1,0
9988,0.339,8154,2,0
11077,0.135,21781,2,0
13993,0.219,16167,1,0
5246,0.203,13033,2,1
23184,0.347,56943,1,1
10950,0.175,22745,2,0
22380,0.387,25059,0,1
6860,0.289,16245,1,0
24563,0.028,61346,0,1
14582,0.098,19989,1,0
13049,0.138,22062,0,1
11125,0.221,5000,2,1
8740,0.127,5000,1,0
18038,0.11,26178,1,1
10616,0.392,17831,2,0
5000,0.423,5280,1,1
5661,0.231,5000,1,1
9018,0.214,18423,0,0
11556,0.215,14785,2,0
9621,0.553,16957,0,0
18205,0.115,32140,2,0
5000,0.66,7741,2,1
10633,0.164,8239,1,1
5000,0.199,8468,2,0
14470,0.199,15575,1,0
9440,0.117,20015,1,0
12207,0.06,9835,1,0
6425,0.184,6499,1,0
18764,0.254,24856,2,0
16661,0.484,32557,2,0
13250,0.203,25355,1,0
9276,0.243,10277,1,0
13225,0.211,19476,0,0
6950,0.412,6199,1,1
15180,0.208,30631,1,1
22578,0.34,18358,0,0
16903,0.17,35847,1,1
6871,0.26,16268,1,1
11857,0.464,29434,1,1
5184,0.212,11403,1,0
13176,0.06,11405,2,0
12398,0.298,15803,1,0
5000,0.203,5000,1,0
5536,0.219,5000,1,0
8590,0.289,5000,1,0
8514,0.454,14869,1,1
5405,0.141,8215,0,0
12021,0.247,27959,1,1
11223,0.324,15401,1,0
8980,0.387,15706,2,0
6782,0.144,8433,1,0
16719,0.23,35811,1,0
22645,0.105,53111,2,0
7771,0.23,10154,0,0
7287,0.311,5000,2,0
12652,0.117,9406,1,0
8274,0.363,15831,2,0
9230,0.365,9997,0,1
14325,0.268,29358,1,1
5000,0.049,9872,0,0
19132,0.316,35549,1,1
10263,0.074,21654,0,1
8056,0.316,16022,2,0
9465,0.275,16360,1,1
9712,0.27,5000,1,0
5000,0.062,7414,1,0
20899,0.264,34484,2,0
10103,0.348,24424,2,0
12351,0.129,21812,2,0
15927,0.411,25618,0,0
5939,0.107,9126,1,0
12540,0.292,7736,1,0
8657,0.508,11237,1,1
15114,0.228,10310,1,0
5000,0.064,5000,2,0
9418,0.399,10284,0,0
7321,0.275,12852,1,1
12284,0.575,27275,1,1
12519,0.144,26312,1,1
6947,0.342,7078,1,1
6932,0.39,5000,2,0
9364,0.082,11664,1,0
6321,0.166,6707,2,0
15077,0.116,17786,1,0
8228,0.466,12953,2,1
5000,0.279,5000,2,0
8205,0.358,9672,2,0
5888,0.418,9263,1,1
5000,0.028,6525,1,0
5330,0.594,9602,1,1
10453,0.145,8267,2,0
19231,0.429,13905,0,0
11574,0.502,12113,0,1
7308,0.06,5000,1,1
12431,0.441,11140,0,0
7867,0.203,5000,1,1
6993,0.315,8700,1,1
5557,0.262,10525,0,1
5000,0.064,5008,2,0
8144,0.42,5000,0,1
10711,0.523,16814,0,0
9430,0.262,17475,1,1
8038,0.036,9821,0,0
6167,0.23,6314,2,1
13414,0.42,19187,1,0
5122,0.495,5000,2,1
14588,0.221,25563,1,0
5996,0.117,11632,2,0
6793,0.373,12770,1,1
5000,0.433,5451,0,1
7702,0.544,16712,0,1
16117,0.398,38494,1,0
12807,0.246,13113,1,0
16142,0.112,15362,0,1
12849,0.08,24139,0,1
5699,0.353,10757,1,1
8388,0.216,12346,1,1
6700,0.488,15671,2,0
19250,0.392,13615,0,1
5440,0.153,7629,1,1
15472,0.543,7333,1,0
15467,0.418,7897,0,1
24706,0.342,12667,1,0
8063,0.365,11553,1,1
14131,0.574,23130,1,1
30971,0.303,12615,1,0
7267,0.247,12560,1,0
5000,0.271,7141,1,1
5000,0.443,5000,0,1
14134,0.266,6101,1,0
5000,0.276,5000,1,1
8216,0.089,13644,1,1
12316,0.056,21966,0,1
10857,0.179,19096,0,1
12243,0.172,8835,0,1
11060,0.428,25589,0,1
18759,0.138,23692,1,0
6147,0.216,12374,0,1
7055,0.42,5288,2,0
6725,0.278,9336,1,0
14989,0.161,22412,1,1
15524,0.038,31325,0,0
12401,0.279,21147,1,1
17885,0.396,22151,1,1
5491,0.447,5454,1,0
22779,0.552,55654,1,1
21197,0.398,21144,2,0
14297,0.486,9606,2,0
24122,0.111,24867,1,0
5000,0.628,5432,2,1
7614,0.425,5090,2,0
6852,0.417,12931,0,0
14196,0.312,24137,1,0
5854,0.167,6234,1,0
14454,0.128,35923,1,0
19638,0.134,34869,2,0
14011,0.312,26294,1,1
11405,0.32,17908,0,1
6039,0.505,9411,1,0
6480,0.387,5000,2,0
18486,0.501,37322,2,1
14613,0.195,33793,0,0
9705,0.316,6374,1,0
8030,0.643,16630,0,0
5000,0.098,7610,2,0
5793,0.164,5789,2,0
25737,0.602,60067,1,1
5217,0.386,5000,1,0
10880,0.556,10614,2,0
16378,0.184,37033,0,1
5284,0.096,7451,2,0
10854,0.206,17994,0,1
15818,0.576,31234,1,1
9959,0.596,7078,1,0
40000,0.21,34074,2,0
5000,0.509,12485,0,1
16803,0.478,15100,1,0
9077,0.333,13910,1,0
14558,0.171,14956,1,0
12340,0.326,27001,1,1
6859,0.038,16598,1,0
11097,0.211,7731,0,1
5000,0.276,8306,2,0
13381,0.103,28158,1,1
11488,0.194,24451,0,1
13620,0.152,18046,1,0
16798,0.132,14670,0,1
11894,0.548,14427,1,1
10657,0.527,21074,1,0
6370,0.222,15843,1,1
6931,0.276,10841,1,1
17914,0.339,14506,2,0
20295,0.227,9905,1,0
8786,0.201,20926,1,1
10127,0.244,14323,0,1
6296,0.04,11993,2,0
17789,0.241,31779,1,0
13803,0.336,31346,1,1
26123,0.135,25047,2,0
6379,0.191,8469,0,0
8192,0.292,18995,0,1
11111,0.533,18108,1,0
13673,0.241,7518,1,0
8885,0.267,7183,1,0
6396,0.129,5745,1,1
15378,0.265,38244,2,0
14193,0.325,12358,2,0
6259,0.253,13935,2,0
19491,0.059,10993,1,0
17767,0.28,13886,1,0
10584,0.148,23617,2,0
10298,0.018,23561,0,1
13056,0.136,10053,2,0
6432,0.419,5678,1,0
10046,0.152,15212,2,0
5000,0.347,5000,2,1
15340,0.264,36587,1,1
5000,0.238,5801,0,1
20988,0.165,29960,2,1
8391,0.515,5207,1,1
8903,0.57,5000,1,0
7231,0.305,9996,2,0
8569,0.307,5617,2,0
20115,0.11,34673,1,0
5000,0.261,10342,0,1
18741,0.262,8742,0,1
11719,0.132,19755,1,1
5412,0.586,11435,1,1
5781,0.318,7647,1,0
22884,0.357,55273,1,1
6168,0.271,5000,1,0
5559,0.365,5994,1,0
17477,0.206,15435,2,0
11722,0.385,29212,1,0
6192,0.162,6302,2,0
11029,0.441,13396,2,0
5926,0.209,12918,1,0
17161,0.359,40379,1,1
16826,0.281,39865,2,1
12913,0.131,20301,2,0
11858,0.542,21262,2,0
23875,0.244,27056,1,0
9895,0.301,16575,1,1
5481,0.418,5677,2,0
12391,0.453,24369,2,0
28085,0.48,29353,1,1
5958,0.183,13387,1,1
8260,0.177,5793,0,1
12188,0.245,19510,1,0
9633,0.49,14387,1,1
6056,0.611,5776,1,0
